number,value,datetime_start,datetime_complete,duration,params_conv2_drop,params_fc1_neurons,params_learning_rate,params_num_conv1_channels,params_num_conv2_channels,params_optimizer,state
98,0.018378546461462975,2022-11-04 06:03:49.071165,2022-11-04 06:08:29.168465,0 days 00:04:40.097300,0.1953286706994828,130,9.968237726327636e-05,112,80,Adam,COMPLETE
42,0.018416155129671097,2022-11-04 02:33:04.439196,2022-11-04 02:37:29.989962,0 days 00:04:25.550766,0.1876768367426998,110,0.00012793474563720363,64,80,Adam,COMPLETE
94,0.018433833494782448,2022-11-04 05:49:05.721507,2022-11-04 05:52:50.683161,0 days 00:03:44.961654,0.18820262566042856,150,0.00016995088973224224,112,80,Adam,COMPLETE
12,0.01850122958421707,2022-11-04 00:33:23.083344,2022-11-04 00:35:57.745253,0 days 00:02:34.661909,0.1475598579632401,70,0.00029736529670787367,96,112,Adam,COMPLETE
35,0.018525563180446625,2022-11-04 02:03:19.472577,2022-11-04 02:07:17.681910,0 days 00:03:58.209333,0.18269158372388591,80,0.00024783992490940636,96,64,Adam,COMPLETE
21,0.0185841154307127,2022-11-04 01:08:38.689878,2022-11-04 01:12:50.568386,0 days 00:04:11.878508,0.1700053852320349,130,0.00018367435844522344,64,64,Adam,COMPLETE
44,0.018612679094076157,2022-11-04 02:40:17.945918,2022-11-04 02:43:32.599321,0 days 00:03:14.653403,0.15376431563053214,140,0.0002657529132738181,48,64,Adam,COMPLETE
62,0.018613144755363464,2022-11-04 03:51:22.929270,2022-11-04 03:55:35.105181,0 days 00:04:12.175911,0.18149238924786817,150,9.971325104100295e-05,96,96,Adam,COMPLETE
90,0.018631208688020706,2022-11-04 05:34:51.733083,2022-11-04 05:38:35.317634,0 days 00:03:43.584551,0.18883965349563342,140,0.00013922930071172076,128,80,Adam,COMPLETE
26,0.01864561438560486,2022-11-04 01:27:03.764516,2022-11-04 01:29:13.091230,0 days 00:02:09.326714,0.1569994135014055,150,0.0004836598806835083,112,112,Adam,COMPLETE
55,0.018660567700862885,2022-11-04 03:21:59.337138,2022-11-04 03:26:39.694673,0 days 00:04:40.357535,0.17512320763432465,100,0.0001308195044949799,96,96,Adam,COMPLETE
30,0.018752839416265488,2022-11-04 01:42:02.687119,2022-11-04 01:46:45.745105,0 days 00:04:43.057986,0.1607986799478092,150,0.00013683903588250973,128,32,Adam,COMPLETE
52,0.01878318563103676,2022-11-04 03:13:07.769983,2022-11-04 03:16:09.384353,0 days 00:03:01.614370,0.14363099545891037,140,0.00021098260492857405,96,112,Adam,COMPLETE
82,0.01883382350206375,2022-11-04 05:02:53.898620,2022-11-04 05:05:28.120433,0 days 00:02:34.221813,0.15114905854905014,190,0.00034510239680282965,96,96,Adam,COMPLETE
71,0.018968330696225166,2022-11-04 04:30:34.900483,2022-11-04 04:34:18.684757,0 days 00:03:43.784274,0.1671074237419309,190,0.00010867153234352736,96,96,Adam,COMPLETE
99,0.018970075994729996,2022-11-04 06:08:29.168465,2022-11-04 06:11:15.099002,0 days 00:02:45.930537,0.18637705079141892,160,0.00020433642977015916,96,96,Adam,COMPLETE
3,0.018984997645020485,2022-11-03 23:57:33.283559,2022-11-04 00:00:56.204568,0 days 00:03:22.921009,0.09047097202476106,190,0.00028335120878964165,48,128,Adam,COMPLETE
80,0.019070489332079887,2022-11-04 04:57:39.139643,2022-11-04 05:00:47.622249,0 days 00:03:08.482606,0.15654862187342133,190,0.0002417174279935677,112,96,Adam,COMPLETE
31,0.01907348446547985,2022-11-04 01:46:45.745105,2022-11-04 01:50:42.993364,0 days 00:03:57.248259,0.17428084938881158,140,0.0001702918953153649,96,80,Adam,COMPLETE
41,0.019138922914862633,2022-11-04 02:30:02.123127,2022-11-04 02:33:04.439196,0 days 00:03:02.316069,0.1765260042339029,120,0.0002170838952402101,64,80,Adam,COMPLETE
93,0.019245078787207603,2022-11-04 05:44:26.273963,2022-11-04 05:49:05.721507,0 days 00:04:39.447544,0.18459720446145994,130,8.920204608100692e-05,96,64,Adam,COMPLETE
96,0.01930427923798561,2022-11-04 05:56:48.528185,2022-11-04 06:00:18.661685,0 days 00:03:30.133500,0.19175914053309617,140,0.0001378542253082712,96,96,Adam,COMPLETE
81,0.019384846091270447,2022-11-04 05:00:47.622249,2022-11-04 05:02:53.898620,0 days 00:02:06.276371,0.16160721627763613,170,0.0004227251028957367,96,96,Adam,COMPLETE
29,0.01942562870681286,2022-11-04 01:38:32.607978,2022-11-04 01:42:02.687119,0 days 00:03:30.079141,0.13946772038468797,180,9.353139721007898e-05,112,80,Adam,COMPLETE
97,0.01958591863512993,2022-11-04 06:00:18.661685,2022-11-04 06:03:49.071165,0 days 00:03:30.409480,0.17946745339683878,140,0.00012027804806229827,80,96,Adam,COMPLETE
79,0.019593626260757446,2022-11-04 04:54:53.999299,2022-11-04 04:57:39.139643,0 days 00:02:45.140344,0.13996356811303437,160,0.0003250278734429335,96,80,Adam,COMPLETE
11,0.019725089892745018,2022-11-04 00:30:49.423073,2022-11-04 00:33:23.083344,0 days 00:02:33.660271,0.07690048345974439,100,0.00032462254004259094,48,96,Adam,COMPLETE
51,0.01972959190607071,2022-11-04 03:08:28.269743,2022-11-04 03:13:07.769983,0 days 00:04:39.500240,0.16901929039016117,120,7.410348510244934e-05,80,96,Adam,COMPLETE
43,0.019961532205343246,2022-11-04 02:37:29.989962,2022-11-04 02:40:17.945918,0 days 00:02:47.955956,0.16448321659722115,140,0.0001706749981051476,80,80,Adam,COMPLETE
75,0.020038248971104622,2022-11-04 04:44:22.507475,2022-11-04 04:46:15.037479,0 days 00:01:52.530004,0.15436088680426432,170,0.0004452734924088796,80,80,Adam,COMPLETE
66,0.0200906153768301,2022-11-04 04:07:42.514932,2022-11-04 04:12:22.583464,0 days 00:04:40.068532,0.18437325108077482,150,5.9732146640675294e-05,112,96,Adam,COMPLETE
23,0.02013036608695984,2022-11-04 01:15:39.229685,2022-11-04 01:19:50.387159,0 days 00:04:11.157474,0.157445276922286,150,8.418962649428344e-05,48,96,Adam,COMPLETE
